cardCount,name,symbol,logo,id
"{'total': 169, 'official': 147}",Burning Shadows,https://assets.tcgdex.net/univ/sm/sm3/symbol,https://assets.tcgdex.net/en/sm/sm3/logo,sm3
"{'total': 78, 'official': 73}",Shining Legends,,,sm3.5
"{'total': 125, 'official': 111}",Crimson Invasion,https://assets.tcgdex.net/univ/sm/sm4/symbol,https://assets.tcgdex.net/en/sm/sm4/logo,sm4
"{'total': 173, 'official': 156}",Ultra Prism,https://assets.tcgdex.net/univ/sm/sm5/symbol,https://assets.tcgdex.net/en/sm/sm5/logo,sm5
"{'total': 146, 'official': 131}",Forbidden Light,https://assets.tcgdex.net/univ/sm/sm6/symbol,https://assets.tcgdex.net/en/sm/sm6/logo,sm6
"{'total': 183, 'official': 168}",Celestial Storm,https://assets.tcgdex.net/univ/sm/sm7/symbol,https://assets.tcgdex.net/en/sm/sm7/logo,sm7
"{'total': 78, 'official': 70}",Dragon Majesty,,,sm7.5
"{'total': 12, 'official': 12}",Macdonald's Collection 2018,,,2018sm
"{'total': 236, 'official': 214}",Lost Thunder,https://assets.tcgdex.net/univ/sm/sm8/symbol,https://assets.tcgdex.net/en/sm/sm8/logo,sm8
"{'total': 196, 'official': 181}",Team Up,https://assets.tcgdex.net/univ/sm/sm9/symbol,https://assets.tcgdex.net/en/sm/sm9/logo,sm9
"{'total': 18, 'official': 18}",Detective Pikachu,https://assets.tcgdex.net/univ/sm/det1/symbol,https://assets.tcgdex.net/en/sm/det1/logo,det1
"{'total': 234, 'official': 214}",Unbroken Bonds,https://assets.tcgdex.net/univ/sm/sm10/symbol,https://assets.tcgdex.net/en/sm/sm10/logo,sm10
"{'total': 258, 'official': 236}",Unified Minds,https://assets.tcgdex.net/univ/sm/sm11/symbol,https://assets.tcgdex.net/en/sm/sm11/logo,sm11
"{'total': 94, 'official': 94}",Yellow A Alternate,https://assets.tcgdex.net/univ/sm/sma/symbol,,sma
"{'total': 69, 'official': 68}",Hidden Fates,https://assets.tcgdex.net/univ/sm/sm115/symbol,https://assets.tcgdex.net/en/sm/sm115/logo,sm115
"{'total': 12, 'official': 12}",Macdonald's Collection 2019,,,2019sm
"{'total': 271, 'official': 236}",Cosmic Eclipse,https://assets.tcgdex.net/univ/sm/sm12/symbol,https://assets.tcgdex.net/en/sm/sm12/logo,sm12
"{'total': 166, 'official': 107}",SWSH Black Star Promos,https://assets.tcgdex.net/univ/swsh/swshp/symbol,https://assets.tcgdex.net/en/swsh/swshp/logo,swshp
"{'total': 216, 'official': 202}",Sword & Shield,https://assets.tcgdex.net/univ/swsh/swsh1/symbol,https://assets.tcgdex.net/en/swsh/swsh1/logo,swsh1
"{'total': 209, 'official': 192}",Rebel Clash,https://assets.tcgdex.net/univ/swsh/swsh2/symbol,https://assets.tcgdex.net/en/swsh/swsh2/logo,swsh2
"{'total': 201, 'official': 189}",Darkness Ablaze,https://assets.tcgdex.net/univ/swsh/swsh3/symbol,https://assets.tcgdex.net/en/swsh/swsh3/logo,swsh3
"{'total': 5, 'official': 5}",Pokémon Futsal 2020,https://assets.tcgdex.net/univ/swsh/fut2020/symbol,https://assets.tcgdex.net/en/swsh/fut2020/logo,fut2020
"{'total': 80, 'official': 70}",Champion's Path,https://assets.tcgdex.net/univ/swsh/swsh3.5/symbol,https://assets.tcgdex.net/en/swsh/swsh3.5/logo,swsh3.5
"{'total': 203, 'official': 185}",Vivid Voltage,https://assets.tcgdex.net/univ/swsh/swsh4/symbol,https://assets.tcgdex.net/en/swsh/swsh4/logo,swsh4
"{'total': 25, 'official': 25}",Macdonald's Collection 2021,https://assets.tcgdex.net/univ/mc/2021swsh/symbol,,2021swsh
"{'total': 195, 'official': 72}",Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,https://assets.tcgdex.net/en/swsh/swsh4.5/logo,swsh4.5
"{'total': 183, 'official': 163}",Battle Styles,https://assets.tcgdex.net/univ/swsh/swsh5/symbol,https://assets.tcgdex.net/en/swsh/swsh5/logo,swsh5
"{'total': 233, 'official': 198}",Chilling Reign,https://assets.tcgdex.net/univ/swsh/swsh6/symbol,https://assets.tcgdex.net/en/swsh/swsh6/logo,swsh6
"{'total': 237, 'official': 203}",Evolving Skies,https://assets.tcgdex.net/univ/swsh/swsh7/symbol,https://assets.tcgdex.net/en/swsh/swsh7/logo,swsh7
"{'total': 51, 'official': 25}",Celebrations,https://assets.tcgdex.net/univ/swsh/cel25/symbol,https://assets.tcgdex.net/en/swsh/cel25/logo,cel25
"{'total': 284, 'official': 264}",Fusion Strike,https://assets.tcgdex.net/univ/swsh/swsh8/symbol,https://assets.tcgdex.net/en/swsh/swsh8/logo,swsh8
"{'total': 216, 'official': 172}",Brilliant Stars,https://assets.tcgdex.net/univ/swsh/swsh9/symbol,https://assets.tcgdex.net/en/swsh/swsh9/logo,swsh9
"{'total': 246, 'official': 189}",Astral Radiance,https://assets.tcgdex.net/univ/swsh/swsh10/symbol,https://assets.tcgdex.net/en/swsh/swsh10/logo,swsh10
"{'total': 88, 'official': 78}",Pokémon GO,https://assets.tcgdex.net/univ/swsh/swsh10.5/symbol,https://assets.tcgdex.net/en/swsh/swsh10.5/logo,swsh10.5
"{'total': 247, 'official': 196}",Lost Origin,https://assets.tcgdex.net/univ/swsh/swsh11/symbol,https://assets.tcgdex.net/en/swsh/swsh11/logo,swsh11
"{'total': 245, 'official': 195}",Silver Tempest,,https://assets.tcgdex.net/en/swsh/swsh12/logo,swsh12
"{'total': 230, 'official': 159}",Crown Zenith,,https://assets.tcgdex.net/en/swsh/swsh12.5/logo,swsh12.5
